#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"Un","NW_020843367.1",253187,262623,"+",113687102,"LOC113687102","-","XP_027035543.1",198,"fibroblast growth factor 1-like isoform X2"
"Un","NW_020843367.1",258356,262623,"+",113687102,"LOC113687102","-","XP_027060644.1",225,"fibroblast growth factor 1-like isoform X1"
"Un","NW_020843367.1",260832,262623,"+",113687102,"LOC113687102","-","XP_027035682.1",189,"fibroblast growth factor 1-like isoform X4"
"Un","NW_020843367.1",265940,269772,"-",113668270,"LOC113668270","-","XP_027039992.1",285,"protein FAM166B-like"
"Un","NW_020843367.1",271106,276850,"+",113669256,"LOC113669256","-","XP_027041093.1",741,"nitric oxide-associated protein 1-like"
"Un","NW_020843367.1",293730,305001,"-",113667332,"LOC113667332","-","XP_027038980.1",975,"phospholipase DDHD2-like"
"Un","NW_020843367.1",309055,313629,"-",113667687,"LOC113667687","-","XP_027039378.1",321,"uncharacterized protein LOC113667687"
"Un","NW_020843367.1",309055,313629,"-",113667687,"LOC113667687","-","XP_027039445.1",321,"uncharacterized protein LOC113667687"
"Un","NW_020843367.1",309055,313629,"-",113667687,"LOC113667687","-","XP_027039513.1",321,"uncharacterized protein LOC113667687"
"Un","NW_020843367.1",309055,313629,"-",113667687,"LOC113667687","-","XP_027039578.1",321,"uncharacterized protein LOC113667687"
"Un","NW_020843367.1",318318,322917,"-",113682315,"LOC113682315","-","XP_027055617.1",639,"protein DD3-3-like"
"Un","NW_020843367.1",330551,337997,"-",113681330,"LOC113681330","-","XP_027054571.1",656,"protein DD3-3-like"
"Un","NW_020843367.1",340192,347154,"-",113680347,"LOC113680347","-","XP_027053515.1",729,"ATP-binding cassette sub-family D member 2-like"
"Un","NW_020843367.1",350796,356174,"+",113665515,"LOC113665515","-","XP_027037061.1",629,"protein DD3-3-like"
"Un","NW_020843367.1",358758,363686,"+",113665613,"LOC113665613","-","XP_027037163.1",627,"protein DD3-3-like"
"Un","NW_020843367.1",369471,375199,"+",113668037,"LOC113668037","-","XP_027040061.1",612,"protein DD3-3-like"
"Un","NW_020843367.1",380573,396553,"+",113665425,"LOC113665425","-","XP_027036945.1",640,"protein DD3-3-like"
"Un","NW_020843367.1",401734,407948,"+",113666599,"LOC113666599","-","XP_027038226.1",638,"protein DD3-3-like"
"Un","NW_020843367.1",415578,420733,"-",113668992,"LOC113668992","-","XP_027041135.1",1103,"NFX1-type zinc finger-containing protein 1-like"
"Un","NW_020843367.1",425488,438151,"-",113683294,"LOC113683294","-","XP_027056671.1",2073,"NFX1-type zinc finger-containing protein 1-like"
"Un","NW_020843367.1",441101,445206,"-",113667433,"LOC113667433","-","XP_027039166.1",297,"pyridoxal phosphate homeostasis protein-like isoform X2"
"Un","NW_020843367.1",441101,445206,"-",113667433,"LOC113667433","-","XP_027039087.1",309,"pyridoxal phosphate homeostasis protein-like isoform X1"
"Un","NW_020843367.1",445430,447970,"+",113667593,"LOC113667593","-","XP_027039277.1",182,"testis-expressed protein 36-like"
"Un","NW_020843367.1",450797,455700,"-",113666102,"LOC113666102","-","XP_027037698.1",612,"uncharacterized protein LOC113666102"
"Un","NW_020843367.1",455939,460543,"+",113666204,"LOC113666204","-","XP_027037799.1",399,"26S proteasome non-ATPase regulatory subunit 4-like"
"Un","NW_020843367.1",466061,473304,"+",113679366,"LOC113679366","-","XP_027052467.1",593,"alpha-adducin-like"
"Un","NW_020843367.1",476652,479419,"-",113669606,"LOC113669606","-","XP_027041507.1",227,"tetratricopeptide repeat protein 33-like"
"Un","NW_020843367.1",480307,484511,"+",113664112,"LOC113664112","-","XP_027035853.1",248,"C-type lectin lectoxin-Lio2-like"
"Un","NW_020843367.1",486486,490723,"-",113669026,"LOC113669026","-","XP_027040849.1",481,"matrix metalloproteinase-16-like"
"Un","NW_020843367.1",486486,490723,"-",113669026,"LOC113669026","-","XP_027040922.1",481,"matrix metalloproteinase-16-like"
"Un","NW_020843367.1",504356,512361,"-",113665707,"LOC113665707","-","XP_027037263.1",1107,"KAT8 regulatory NSL complex subunit 3-like"
"Un","NW_020843367.1",512823,518271,"+",113665808,"LOC113665808","-","XP_027037513.1",369,"pantothenate kinase 3-like isoform X3"
"Un","NW_020843367.1",514054,518271,"+",113665808,"LOC113665808","-","XP_027037437.1",370,"pantothenate kinase 3-like isoform X2"
"Un","NW_020843367.1",514132,518271,"+",113665808,"LOC113665808","-","XP_027037365.1",373,"pantothenate kinase 3-like isoform X1"
"Un","NW_020843367.1",514132,518219,"+",113665808,"LOC113665808","-","XP_027037589.1",354,"pantothenate kinase 3-like isoform X4"
"Un","NW_020843367.1",520150,527907,"-",113669703,"LOC113669703","-","XP_027041613.1",469,"5\\'-nucleotidase domain-containing protein 1-like"
"Un","NW_020843367.1",532193,535235,"-",113666303,"LOC113666303","-","XP_027037909.1",240,"transmembrane protein 127-like"
"Un","NW_020843367.1",552484,557650,"+",113674852,"LOC113674852","-","XP_027047512.1",733,"solute carrier organic anion transporter family member 4A1-like"
"Un","NW_020843367.1",552484,557650,"+",113674852,"LOC113674852","-","XP_027048210.1",733,"solute carrier organic anion transporter family member 4A1-like"
"Un","NW_020843367.1",552484,557650,"+",113674852,"LOC113674852","-","XP_027048920.1",733,"solute carrier organic anion transporter family member 4A1-like"
"Un","NW_020843367.1",552484,557650,"+",113674852,"LOC113674852","-","XP_027049642.1",733,"solute carrier organic anion transporter family member 4A1-like"
"Un","NW_020843367.1",560423,565336,"-",113677736,"LOC113677736","-","XP_027050727.1",419,"uncharacterized protein LOC113677736 isoform X1"
"Un","NW_020843367.1",561021,565336,"-",113677736,"LOC113677736","-","XP_027051413.1",347,"uncharacterized protein LOC113677736 isoform X2"
"Un","NW_020843367.1",570108,586754,"-",113669966,"LOC113669966","-","XP_027042212.1",918,"insulin-degrading enzyme-like"
"Un","NW_020843367.1",587150,590590,"+",113670514,"LOC113670514","-","XP_027042506.1",224,"DNA replication complex GINS protein SLD5-like"
"Un","NW_020843367.1",592994,593665,"+",113668175,"LOC113668175","-","XP_027039888.1",223,"protein phosphatase 1 regulatory subunit 3B-like"
"Un","NW_020843367.1",597122,603530,"-",113670264,"LOC113670264","-","XP_027042213.1",244,"protein FAM204A-like"
"Un","NW_020843367.1",603715,609451,"+",113670005,"LOC113670005","-","XP_027041994.1",371,"gamma-butyrobetaine dioxygenase-like isoform X2"
"Un","NW_020843367.1",603715,608519,"+",113670005,"LOC113670005","-","XP_027041923.1",438,"gamma-butyrobetaine dioxygenase-like isoform X1"
"Un","NW_020843367.1",612512,617803,"+",113669897,"LOC113669897","-","XP_027041818.1",443,"gamma-butyrobetaine dioxygenase-like"
"Un","NW_020843367.1",618672,626219,"-",113669806,"LOC113669806","-","XP_027041716.1",738,"lysyl oxidase homolog 3B-like"
"Un","NW_020843367.1",628139,647768,"+",113670928,"LOC113670928","-","XP_027043272.1",1485,"uncharacterized protein LOC113670928"
"Un","NW_020843367.1",648790,649791,"-",113664815,"LOC113664815","-","XP_027036267.1",333,"5-hydroxytryptamine receptor 4-like"
"Un","NW_020843367.1",648790,649791,"-",113664815,"LOC113664815","-","XP_027036337.1",333,"5-hydroxytryptamine receptor 4-like"
"Un","NW_020843367.1",648790,649791,"-",113664815,"LOC113664815","-","XP_027036414.1",333,"5-hydroxytryptamine receptor 4-like"
"Un","NW_020843367.1",648790,649791,"-",113664815,"LOC113664815","-","XP_027036486.1",333,"5-hydroxytryptamine receptor 4-like"
"Un","NW_020843367.1",648790,649791,"-",113664815,"LOC113664815","-","XP_027036553.1",333,"5-hydroxytryptamine receptor 4-like"
"Un","NW_020843367.1",668284,669423,"+",113664458,"LOC113664458","-","XP_027035891.1",379,"somatostatin receptor type 5-like"
"Un","NW_020843367.1",668284,669423,"+",113664458,"LOC113664458","-","XP_027035965.1",379,"somatostatin receptor type 5-like"
"Un","NW_020843367.1",672154,683305,"-",113664353,"LOC113664353","-","XP_027035783.1",1146,"probable ATP-dependent RNA helicase DHX34"
"Un","NW_020843367.1",683445,687487,"+",113664611,"LOC113664611","-","XP_027036075.1",350,"protein FAM45A-like"
"Un","NW_020843367.1",689596,690609,"-",113664711,"LOC113664711","-","XP_027036173.1",337,"alpha-1A adrenergic receptor-like"
"Un","NW_020843367.1",698273,713306,"-",113671922,"LOC113671922","-","XP_027044333.1",2390,"NFX1-type zinc finger-containing protein 1-like"
"Un","NW_020843367.1",719720,722551,"-",113668928,"LOC113668928","-","XP_027040741.1",943,"extracellular calcium-sensing receptor-like"
"Un","NW_020843367.1",726411,736764,"-",113668471,"LOC113668471","-","XP_027040206.1",282,"Kv channel-interacting protein 1-like isoform X1"
"Un","NW_020843367.1",726411,734806,"-",113668471,"LOC113668471","-","XP_027040279.1",255,"Kv channel-interacting protein 1-like isoform X2"
"Un","NW_020843367.1",726411,734422,"-",113668471,"LOC113668471","-","XP_027040354.1",228,"calsenilin-like isoform X3"
"Un","NW_020843367.1",756512,769777,"-",113673860,"LOC113673860","-","XP_027046457.1",336,"uncharacterized protein LOC113673860"
"Un","NW_020843367.1",775439,782077,"+",113669353,"LOC113669353","-","XP_027041203.1",125,"uncharacterized protein LOC113669353 isoform X1"
"Un","NW_020843367.1",775439,780461,"+",113669353,"LOC113669353","-","XP_027041279.1",77,"uncharacterized protein LOC113669353 isoform X2"
"Un","NW_020843370.1",1729,2826,"+",113671064,"LOC113671064","-","XP_027043111.1",366,"tetratricopeptide repeat protein 28-like, partial"
"Un","NW_020843375.1",23136,24659,"-",113671164,"LOC113671164","-","XP_027043214.1",507,"uncharacterized protein LOC113671164"
"Un","NW_020843378.1",124,2028,"+",113672050,"LOC113672050","-","XP_027044160.1",127,"histone H2A.V"
"Un","NW_020843378.1",4978,28694,"+",113671373,"LOC113671373","-","XP_027043393.1",1105,"calcium-activated potassium channel slowpoke-like"
"Un","NW_020843378.1",31328,33630,"-",113671268,"LOC113671268","-","XP_027043310.1",349,"glutamate receptor ionotropic, NMDA 1-like"
"Un","NW_020843378.1",46704,73710,"+",113671649,"LOC113671649","-","XP_027043732.1",442,"uncharacterized protein LOC113671649"
"Un","NW_020843378.1",71287,71847,"-",113672147,"LOC113672147","-","XP_027044259.1",186,"uncharacterized protein LOC113672147"
"Un","NW_020843378.1",73989,92529,"-",113671751,"LOC113671751","-","XP_027043841.1",122,"uncharacterized protein LOC113671751, partial"
"Un","NW_020843378.1",94599,99320,"+",113671853,"LOC113671853","-","XP_027043948.1",302,"gliomedin-like"
"Un","NW_020843379.1",4354,16061,"+",113673669,"LOC113673669","-","XP_027045922.1",305,"A disintegrin and metalloproteinase with thrombospondin motifs 13-like"
"Un","NW_020843379.1",11919,13098,"-",113677024,"LOC113677024","-","XP_027049606.1",98,"mucin-like protein"
"Un","NW_020843379.1",20067,21273,"-",113677124,"LOC113677124","-","XP_027049715.1",145,"multiple coagulation factor deficiency protein 2-like"
"Un","NW_020843379.1",22651,23775,"-",113675812,"LOC113675812","-","XP_027048246.1",374,"uncharacterized protein LOC113675812"
"Un","NW_020843379.1",25217,27635,"-",113676013,"LOC113676013","-","XP_027048461.1",232,"complex I intermediate-associated protein 30, mitochondrial-like"
"Un","NW_020843379.1",27712,32568,"+",113675912,"LOC113675912","-","XP_027048353.1",314,"cardiolipin synthase (CMP-forming)-like"
"Un","NW_020843379.1",34281,36428,"+",113673375,"LOC113673375","-","XP_027045609.1",147,"multiple coagulation factor deficiency protein 2 homolog"
"Un","NW_020843379.1",38297,39199,"-",113673188,"LOC113673188","-","XP_027045397.1",300,"palmitoyltransferase ZDHHC22-like"
"Un","NW_020843379.1",39323,48604,"+",113673467,"LOC113673467","-","XP_027045721.1",603,"ribosomal oxygenase 1-like"
"Un","NW_020843379.1",50059,51317,"+",113673281,"LOC113673281","-","XP_027045505.1",222,"uncharacterized protein LOC113673281"
"Un","NW_020843379.1",57025,59348,"+",113672995,"LOC113672995","-","XP_027045179.1",335,"calcium-activated potassium channel subunit beta-3-like"
"Un","NW_020843379.1",63750,67817,"+",113672898,"LOC113672898","-","XP_027045078.1",845,"mucin-5AC-like"
"Un","NW_020843379.1",72713,86911,"+",113673763,"LOC113673763","-","XP_027046037.1",2386,"location of vulva defective 1-like"
"Un","NW_020843379.1",93835,109454,"+",113672347,"LOC113672347","-","XP_027044463.1",2364,"location of vulva defective 1-like"
"Un","NW_020843379.1",117665,131323,"+",113673861,"LOC113673861","-","XP_027046152.1",2328,"polycystic kidney disease protein 1-like 2"
"Un","NW_020843379.1",135119,148852,"+",113673950,"LOC113673950","-","XP_027046263.1",2174,"uncharacterized protein LOC113673950"
"Un","NW_020843379.1",150416,154674,"-",113676204,"LOC113676204","-","XP_027048670.1",722,"polycystic kidney disease 2-like 1 protein"
"Un","NW_020843379.1",157403,164682,"-",113674050,"LOC113674050","-","XP_027046353.1",872,"sperm receptor for egg jelly-like"
"Un","NW_020843379.1",171546,186452,"-",113676297,"LOC113676297","-","XP_027048784.1",2366,"polycystic kidney disease protein 1-like 2"
"Un","NW_020843379.1",197742,224295,"-",113675615,"LOC113675615","-","XP_027048042.1",2500,"location of vulva defective 1-like"
"Un","NW_020843379.1",258237,274045,"+",113676107,"LOC113676107","-","XP_027048557.1",2437,"uncharacterized protein LOC113676107"
"Un","NW_020843379.1",276467,300886,"-",113672542,"LOC113672542","-","XP_027044676.1",1971,"echinoderm microtubule-associated protein-like 6"
"Un","NW_020843379.1",303985,310055,"-",113674151,"LOC113674151","-","XP_027046458.1",743,"uncharacterized protein LOC113674151"
"Un","NW_020843379.1",332186,332989,"-",113675363,"LOC113675363","-","XP_027047762.1",267,"coadhesin-like"
"Un","NW_020843379.1",334443,336026,"-",113675268,"LOC113675268","-","XP_027047658.1",527,"uncharacterized protein LOC113675268"
"Un","NW_020843379.1",377176,384875,"-",113674255,"LOC113674255","-","XP_027046567.1",968,"NACHT, LRR and PYD domains-containing protein 12-like"
"Un","NW_020843379.1",388548,390404,"-",113677310,"LOC113677310","-","XP_027049948.1",226,"testis-expressed protein 30-like"
"Un","NW_020843379.1",391554,397245,"-",113677220,"LOC113677220","-","XP_027049831.1",642,"scaffold protein salvador-like"
"Un","NW_020843379.1",397492,404897,"+",113672641,"LOC113672641","-","XP_027044789.1",533,"radial spoke head protein 4 homolog A-like isoform X1"
"Un","NW_020843379.1",397492,404897,"+",113672641,"LOC113672641","-","XP_027044863.1",532,"radial spoke head protein 4 homolog A-like isoform X2"
"Un","NW_020843379.1",405946,411629,"-",113672791,"LOC113672791","-","XP_027044975.1",403,"eukaryotic initiation factor 4A-III"
"Un","NW_020843379.1",415165,416532,"-",113676776,"LOC113676776","-","XP_027049316.1",426,"F-box/LRR-repeat protein 7-like isoform X1"
"Un","NW_020843379.1",415165,416532,"-",113676776,"LOC113676776","-","XP_027049394.1",455,"F-box/LRR-repeat protein 2-like isoform X2"
"Un","NW_020843379.1",419345,420676,"+",113674853,"LOC113674853","-","XP_027047188.1",443,"COP9 signalosome complex subunit 2"
"Un","NW_020843379.1",419345,420676,"+",113674853,"LOC113674853","-","XP_027047256.1",443,"COP9 signalosome complex subunit 2"
"Un","NW_020843379.1",419345,420676,"+",113674853,"LOC113674853","-","XP_027047331.1",443,"COP9 signalosome complex subunit 2"
"Un","NW_020843379.1",424694,425638,"-",113675077,"LOC113675077","-","XP_027047447.1",314,"adenosine receptor A3-like"
"Un","NW_020843379.1",428559,429473,"+",113675173,"LOC113675173","-","XP_027047548.1",304,"histamine H2 receptor-like"
"Un","NW_020843379.1",431347,442780,"-",113674354,"LOC113674354","-","XP_027046673.1",1216,"tripartite motif-containing protein 67-like"
"Un","NW_020843379.1",444192,450704,"+",113674461,"LOC113674461","-","XP_027046772.1",660,"LOW QUALITY PROTEIN: tripartite motif-containing protein 67-like"
"Un","NW_020843379.1",455539,458102,"+",113676589,"LOC113676589","-","XP_027049102.1",723,"kinesin light chain-like"
"Un","NW_020843379.1",460273,464716,"-",113676493,"LOC113676493","-","XP_027048993.1",201,"glucosamine 6-phosphate N-acetyltransferase-like"
"Un","NW_020843379.1",464967,471749,"+",113675517,"LOC113675517","-","XP_027047949.1",1020,"ubiquitin-protein ligase E3A-like"
"Un","NW_020843379.1",473615,478910,"+",113676926,"LOC113676926","-","XP_027049500.1",451,"L-2-hydroxyglutarate dehydrogenase, mitochondrial-like"
"Un","NW_020843379.1",480640,500919,"-",113673576,"LOC113673576","-","XP_027045812.1",1252,"son of sevenless homolog 1-like"
"Un","NW_020843379.1",501413,506968,"+",113674653,"LOC113674653","-","XP_027046974.1",221,"vesicle transport through interaction with t-SNAREs homolog 1B-like"
"Un","NW_020843379.1",509220,513279,"-",113674753,"LOC113674753","-","XP_027047084.1",194,"calcineurin B homologous protein 1-like"
"Un","NW_020843379.1",513718,521833,"+",113676398,"LOC113676398","-","XP_027048888.1",350,"arginase-1-like"
"Un","NW_020843379.1",524161,527069,"-",113672246,"LOC113672246","-","XP_027044360.1",233,"exosome complex component RRP46-like"
"Un","NW_020843379.1",527392,534137,"+",113676686,"LOC113676686","-","XP_027049210.1",448,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial-like"
"Un","NW_020843379.1",536335,537604,"-",113675716,"LOC113675716","-","XP_027048147.1",137,"adipocyte plasma membrane-associated protein-like, partial"
"Un","NW_020843380.1",139,1312,"+",113677470,"LOC113677470","-","XP_027050121.1",452,"uncharacterized protein LOC113677470"
"Un","NW_020843384.1",135,1051,"+",113677571,"LOC113677571","-","XP_027050229.1",102,"TATA-binding protein-associated factor 172-like"
"Un","NW_020843386.1",8000,9486,"-",113678351,"LOC113678351","-","XP_027051071.1",149,"uncharacterized protein LOC113678351"
"Un","NW_020843386.1",17022,27333,"-",113678255,"LOC113678255","-","XP_027050967.1",654,"ubiquitin carboxyl-terminal hydrolase 2-like"
"Un","NW_020843386.1",29385,33676,"+",113679834,"LOC113679834","-","XP_027052644.1",443,"B-cell lymphoma 3 protein-like"
"Un","NW_020843386.1",36614,41399,"-",113680124,"LOC113680124","-","XP_027052958.1",197,"selenoprotein S-like"
"Un","NW_020843386.1",42526,46714,"-",113678544,"LOC113678544","-","XP_027051276.1",545,"zinc finger protein 675-like"
"Un","NW_020843386.1",48512,54411,"+",113678645,"LOC113678645","-","XP_027051378.1",384,"NF-kappa-B inhibitor alpha-like"
"Un","NW_020843386.1",48512,54411,"+",113678645,"LOC113678645","-","XP_027051450.1",384,"NF-kappa-B inhibitor alpha-like"
"Un","NW_020843386.1",56506,57441,"-",113678807,"LOC113678807","-","XP_027051552.1",311,"histamine H2 receptor-like"
"Un","NW_020843386.1",59764,61060,"-",113679531,"LOC113679531","-","XP_027052335.1",104,"39S ribosomal protein L17, mitochondrial-like"
"Un","NW_020843386.1",61293,63651,"+",113679128,"LOC113679128","-","XP_027051912.1",340,"uncharacterized protein LOC113679128"
"Un","NW_020843386.1",66753,72753,"-",113678909,"LOC113678909","-","XP_027051664.1",907,"metabotropic glutamate receptor 3-like"
"Un","NW_020843386.1",66753,72753,"-",113678909,"LOC113678909","-","XP_027051734.1",907,"metabotropic glutamate receptor 3-like"
"Un","NW_020843386.1",66753,72753,"-",113678909,"LOC113678909","-","XP_027051812.1",907,"metabotropic glutamate receptor 3-like"
"Un","NW_020843386.1",82069,84442,"-",113679737,"LOC113679737","-","XP_027052539.1",175,"diamine acetyltransferase 2-like"
"Un","NW_020843386.1",87524,89191,"-",113681011,"LOC113681011","-","XP_027053903.1",277,"homeobox protein MIXL1-like"
"Un","NW_020843386.1",92680,108014,"-",113679631,"LOC113679631","-","XP_027052430.1",466,"glutathione reductase, mitochondrial-like"
"Un","NW_020843386.1",108609,124553,"+",113677764,"LOC113677764","-","XP_027050440.1",967,"uncharacterized protein LOC113677764"
"Un","NW_020843386.1",126035,131363,"+",113680612,"LOC113680612","-","XP_027053481.1",362,"rhomboid-like protein 18"
"Un","NW_020843386.1",134879,136812,"-",113680711,"LOC113680711","-","XP_027053585.1",361,"cytoplasmic protein NCK1-like"
"Un","NW_020843386.1",141345,141854,"+",113679227,"LOC113679227","-","XP_027052013.1",169,"uncharacterized protein LOC113679227"
"Un","NW_020843386.1",142592,143593,"+",113680514,"LOC113680514","-","XP_027053382.1",333,"uncharacterized protein LOC113680514"
"Un","NW_020843386.1",149605,151672,"+",113680024,"LOC113680024","-","XP_027052858.1",212,"homeobox protein Hox-A9-like"
"Un","NW_020843386.1",157126,160248,"+",113680810,"LOC113680810","-","XP_027053695.1",212,"homeobox protein koza-like"
"Un","NW_020843386.1",166033,168844,"+",113680909,"LOC113680909","-","XP_027053796.1",211,"homeobox protein vent1-like"
"Un","NW_020843386.1",175250,178931,"-",113680410,"LOC113680410","-","XP_027053282.1",215,"homeobox protein koza-like"
